Date,Event_Name,Impact_Score
1990-10-03,Guerra del Golfo,2
1990-10-04,Guerra del Golfo,2
1990-10-05,Guerra del Golfo,2
1990-10-06,Guerra del Golfo,2
1990-10-07,Guerra del Golfo,2
1990-10-08,Guerra del Golfo,2
1990-10-09,Guerra del Golfo,2
1990-10-10,Guerra del Golfo,2
1990-10-11,Guerra del Golfo,2
1990-10-12,Guerra del Golfo,2
1990-10-13,Guerra del Golfo,2
1990-10-14,Guerra del Golfo,2
1990-10-15,Guerra del Golfo,2
1990-10-16,Guerra del Golfo,2
1990-10-17,Guerra del Golfo,2
1990-10-18,Guerra del Golfo,2
1990-10-19,Guerra del Golfo,2
1990-10-20,Guerra del Golfo,2
1990-10-21,Guerra del Golfo,2
1990-10-22,Guerra del Golfo,2
1990-10-23,Guerra del Golfo,2
1990-10-24,Guerra del Golfo,2
1990-10-25,Guerra del Golfo,2
1990-10-26,Guerra del Golfo,2
1990-10-27,Guerra del Golfo,2
1990-10-28,Guerra del Golfo,2
1990-10-29,Guerra del Golfo,2
1990-10-30,Guerra del Golfo,2
1990-10-31,Guerra del Golfo,2
1990-11-01,Guerra del Golfo,2
1990-11-02,Guerra del Golfo,2
1990-11-03,Guerra del Golfo,2
1990-11-04,Guerra del Golfo,2
1990-11-05,Guerra del Golfo,2
1990-11-06,Guerra del Golfo,2
1990-11-07,Guerra del Golfo,2
1990-11-08,Guerra del Golfo,2
1990-11-09,Guerra del Golfo,2
1990-11-10,Guerra del Golfo,2
1990-11-11,Guerra del Golfo,2
1990-11-12,Guerra del Golfo,2
1990-11-13,Guerra del Golfo,2
1990-11-14,Guerra del Golfo,2
1990-11-15,Guerra del Golfo,2
1990-11-16,Guerra del Golfo,2
1990-11-17,Guerra del Golfo,2
1990-11-18,Guerra del Golfo,2
1990-11-19,Guerra del Golfo,2
1990-11-20,Guerra del Golfo,2
1990-11-21,Guerra del Golfo,2
1990-11-22,Guerra del Golfo,2
1990-11-23,Guerra del Golfo,2
1990-11-24,Guerra del Golfo,2
1990-11-25,Guerra del Golfo,2
1990-11-26,Guerra del Golfo,2
1990-11-27,Guerra del Golfo,2
1990-11-28,Guerra del Golfo,2
1990-11-29,Guerra del Golfo,2
1990-11-30,Guerra del Golfo,2
1990-12-01,Guerra del Golfo,2
1990-12-02,Guerra del Golfo,2
1990-12-03,Guerra del Golfo,2
1990-12-04,Guerra del Golfo,2
1990-12-05,Guerra del Golfo,2
1990-12-06,Guerra del Golfo,2
1990-12-07,Guerra del Golfo,2
1990-12-08,Guerra del Golfo,2
1990-12-09,Guerra del Golfo,2
1990-12-10,Guerra del Golfo,2
1990-12-11,Guerra del Golfo,2
1990-12-12,Guerra del Golfo,2
1990-12-13,Guerra del Golfo,2
1990-12-14,Guerra del Golfo,2
1990-12-15,Guerra del Golfo,2
1990-12-16,Guerra del Golfo,2
1990-12-17,Guerra del Golfo,2
1990-12-18,Guerra del Golfo,2
1990-12-19,Guerra del Golfo,2
1990-12-20,Guerra del Golfo,2
1990-12-21,Guerra del Golfo,2
1990-12-22,Guerra del Golfo,2
1990-12-23,Guerra del Golfo,2
1990-12-24,Guerra del Golfo,2
1990-12-25,Guerra del Golfo,2
1990-12-26,Guerra del Golfo,2
1990-12-27,Guerra del Golfo,2
1990-12-28,Guerra del Golfo,2
1990-12-29,Guerra del Golfo,2
1990-12-30,Guerra del Golfo,2
1990-12-31,Guerra del Golfo,2
1991-01-01,Guerra del Golfo,2
1991-01-02,Guerra del Golfo,2
1991-01-03,Guerra del Golfo,2
1991-01-04,Guerra del Golfo,2
1991-01-05,Guerra del Golfo,2
1991-01-06,Guerra del Golfo,2
1991-01-07,Guerra del Golfo,2
1991-01-08,Guerra del Golfo,2
1991-01-09,Guerra del Golfo,2
1991-01-10,Guerra del Golfo,2
1991-01-11,Guerra del Golfo,2
1991-01-12,Guerra del Golfo,2
1991-01-13,Guerra del Golfo,2
1991-01-14,Guerra del Golfo,2
1991-01-15,Guerra del Golfo,2
1991-01-16,Guerra del Golfo,2
1991-01-17,Guerra del Golfo,2
1991-01-18,Guerra del Golfo,2
1991-01-19,Guerra del Golfo,2
1991-01-20,Guerra del Golfo,2
1991-01-21,Guerra del Golfo,2
1991-01-22,Guerra del Golfo,2
1991-01-23,Guerra del Golfo,2
1991-01-24,Guerra del Golfo,2
1991-01-25,Guerra del Golfo,2
1991-01-26,Guerra del Golfo,2
1991-01-27,Guerra del Golfo,2
1991-01-28,Guerra del Golfo,2
1991-01-29,Guerra del Golfo,2
1991-01-30,Guerra del Golfo,2
1991-01-31,Guerra del Golfo,2
1991-02-01,Guerra del Golfo,2
1991-02-02,Guerra del Golfo,2
1991-02-03,Guerra del Golfo,2
1991-02-04,Guerra del Golfo,2
1991-02-05,Guerra del Golfo,2
1991-02-06,Guerra del Golfo,2
1991-02-07,Guerra del Golfo,2
1991-02-08,Guerra del Golfo,2
1991-02-09,Guerra del Golfo,2
1991-02-10,Guerra del Golfo,2
1991-02-11,Guerra del Golfo,2
1991-02-12,Guerra del Golfo,2
1991-02-13,Guerra del Golfo,2
1991-02-14,Guerra del Golfo,2
1991-02-15,Guerra del Golfo,2
1991-02-16,Guerra del Golfo,2
1991-02-17,Guerra del Golfo,2
1991-02-18,Guerra del Golfo,2
1991-02-19,Guerra del Golfo,2
1991-02-20,Guerra del Golfo,2
1991-02-21,Guerra del Golfo,2
1991-02-22,Guerra del Golfo,2
1991-02-23,Guerra del Golfo,2
1991-02-24,Guerra del Golfo,2
1991-02-25,Guerra del Golfo,2
1991-02-26,Guerra del Golfo,2
1991-02-27,Guerra del Golfo,2
1991-02-28,Guerra del Golfo,2
1992-02-07,Tratado de Maastricht / Integración UE,2
1992-02-08,Tratado de Maastricht / Integración UE,2
1992-02-09,Tratado de Maastricht / Integración UE,2
1992-02-10,Tratado de Maastricht / Integración UE,2
1992-02-11,Tratado de Maastricht / Integración UE,2
1992-02-12,Tratado de Maastricht / Integración UE,2
1992-02-13,Tratado de Maastricht / Integración UE,2
1992-02-14,Tratado de Maastricht / Integración UE,2
1992-02-15,Tratado de Maastricht / Integración UE,2
1992-02-16,Tratado de Maastricht / Integración UE,2
1992-02-17,Tratado de Maastricht / Integración UE,2
1992-02-18,Tratado de Maastricht / Integración UE,2
1992-02-19,Tratado de Maastricht / Integración UE,2
1992-02-20,Tratado de Maastricht / Integración UE,2
1992-02-21,Tratado de Maastricht / Integración UE,2
1992-02-22,Tratado de Maastricht / Integración UE,2
1992-02-23,Tratado de Maastricht / Integración UE,2
1992-02-24,Tratado de Maastricht / Integración UE,2
1992-02-25,Tratado de Maastricht / Integración UE,2
1992-02-26,Tratado de Maastricht / Integración UE,2
1992-02-27,Tratado de Maastricht / Integración UE,2
1992-02-28,Tratado de Maastricht / Integración UE,2
1992-02-29,Tratado de Maastricht / Integración UE,2
1992-03-01,Tratado de Maastricht / Integración UE,2
1992-03-02,Tratado de Maastricht / Integración UE,2
1992-03-03,Tratado de Maastricht / Integración UE,2
1992-03-04,Tratado de Maastricht / Integración UE,2
1992-03-05,Tratado de Maastricht / Integración UE,2
1992-03-06,Tratado de Maastricht / Integración UE,2
1992-03-07,Tratado de Maastricht / Integración UE,2
1992-03-08,Tratado de Maastricht / Integración UE,2
1992-03-09,Tratado de Maastricht / Integración UE,2
1992-03-10,Tratado de Maastricht / Integración UE,2
1992-03-11,Tratado de Maastricht / Integración UE,2
1992-03-12,Tratado de Maastricht / Integración UE,2
1992-03-13,Tratado de Maastricht / Integración UE,2
1992-03-14,Tratado de Maastricht / Integración UE,2
1992-03-15,Tratado de Maastricht / Integración UE,2
1992-03-16,Tratado de Maastricht / Integración UE,2
1992-03-17,Tratado de Maastricht / Integración UE,2
1992-03-18,Tratado de Maastricht / Integración UE,2
1992-03-19,Tratado de Maastricht / Integración UE,2
1992-03-20,Tratado de Maastricht / Integración UE,2
1992-03-21,Tratado de Maastricht / Integración UE,2
1992-03-22,Tratado de Maastricht / Integración UE,2
1992-03-23,Tratado de Maastricht / Integración UE,2
1992-03-24,Tratado de Maastricht / Integración UE,2
1992-03-25,Tratado de Maastricht / Integración UE,2
1992-03-26,Tratado de Maastricht / Integración UE,2
1992-03-27,Tratado de Maastricht / Integración UE,2
1992-03-28,Tratado de Maastricht / Integración UE,2
1992-03-29,Tratado de Maastricht / Integración UE,2
1992-03-30,Tratado de Maastricht / Integración UE,2
1992-03-31,Tratado de Maastricht / Integración UE,2
1992-04-01,Tratado de Maastricht / Integración UE,2
1992-04-02,Tratado de Maastricht / Integración UE,2
1992-04-03,Tratado de Maastricht / Integración UE,2
1992-04-04,Tratado de Maastricht / Integración UE,2
1992-04-05,Tratado de Maastricht / Integración UE,2
1992-04-06,Tratado de Maastricht / Integración UE,2
1992-04-07,Tratado de Maastricht / Integración UE,2
1992-04-08,Tratado de Maastricht / Integración UE,2
1992-04-09,Tratado de Maastricht / Integración UE,2
1992-04-10,Tratado de Maastricht / Integración UE,2
1992-04-11,Tratado de Maastricht / Integración UE,2
1992-04-12,Tratado de Maastricht / Integración UE,2
1992-04-13,Tratado de Maastricht / Integración UE,2
1992-04-14,Tratado de Maastricht / Integración UE,2
1992-04-15,Tratado de Maastricht / Integración UE,2
1992-04-16,Tratado de Maastricht / Integración UE,2
1992-04-17,Tratado de Maastricht / Integración UE,2
1992-04-18,Tratado de Maastricht / Integración UE,2
1992-04-19,Tratado de Maastricht / Integración UE,2
1992-04-20,Tratado de Maastricht / Integración UE,2
1992-04-21,Tratado de Maastricht / Integración UE,2
1992-04-22,Tratado de Maastricht / Integración UE,2
1992-04-23,Tratado de Maastricht / Integración UE,2
1992-04-24,Tratado de Maastricht / Integración UE,2
1992-04-25,Tratado de Maastricht / Integración UE,2
1992-04-26,Tratado de Maastricht / Integración UE,2
1992-04-27,Tratado de Maastricht / Integración UE,2
1992-04-28,Tratado de Maastricht / Integración UE,2
1992-04-29,Tratado de Maastricht / Integración UE,2
1992-04-30,Tratado de Maastricht / Integración UE,2
1992-05-01,Tratado de Maastricht / Integración UE,2
1992-05-02,Tratado de Maastricht / Integración UE,2
1992-05-03,Tratado de Maastricht / Integración UE,2
1992-05-04,Tratado de Maastricht / Integración UE,2
1992-05-05,Tratado de Maastricht / Integración UE,2
1992-05-06,Tratado de Maastricht / Integración UE,2
1992-05-07,Tratado de Maastricht / Integración UE,2
1992-05-08,Tratado de Maastricht / Integración UE,2
1992-05-09,Tratado de Maastricht / Integración UE,2
1992-05-10,Tratado de Maastricht / Integración UE,2
1992-05-11,Tratado de Maastricht / Integración UE,2
1992-05-12,Tratado de Maastricht / Integración UE,2
1992-05-13,Tratado de Maastricht / Integración UE,2
1992-05-14,Tratado de Maastricht / Integración UE,2
1992-05-15,Tratado de Maastricht / Integración UE,2
1992-05-16,Tratado de Maastricht / Integración UE,2
1992-05-17,Tratado de Maastricht / Integración UE,2
1992-05-18,Tratado de Maastricht / Integración UE,2
1992-05-19,Tratado de Maastricht / Integración UE,2
1992-05-20,Tratado de Maastricht / Integración UE,2
1992-05-21,Tratado de Maastricht / Integración UE,2
1992-05-22,Tratado de Maastricht / Integración UE,2
1992-05-23,Tratado de Maastricht / Integración UE,2
1992-05-24,Tratado de Maastricht / Integración UE,2
1992-05-25,Tratado de Maastricht / Integración UE,2
1992-05-26,Tratado de Maastricht / Integración UE,2
1992-05-27,Tratado de Maastricht / Integración UE,2
1992-05-28,Tratado de Maastricht / Integración UE,2
1992-05-29,Tratado de Maastricht / Integración UE,2
1992-05-30,Tratado de Maastricht / Integración UE,2
1992-05-31,Tratado de Maastricht / Integración UE,2
1992-06-01,Tratado de Maastricht / Integración UE,2
1992-06-02,Tratado de Maastricht / Integración UE,2
1992-06-03,Tratado de Maastricht / Integración UE,2
1992-06-04,Tratado de Maastricht / Integración UE,2
1992-06-05,Tratado de Maastricht / Integración UE,2
1992-06-06,Tratado de Maastricht / Integración UE,2
1992-06-07,Tratado de Maastricht / Integración UE,2
1992-06-08,Tratado de Maastricht / Integración UE,2
1992-06-09,Tratado de Maastricht / Integración UE,2
1992-06-10,Tratado de Maastricht / Integración UE,2
1992-06-11,Tratado de Maastricht / Integración UE,2
1992-06-12,Tratado de Maastricht / Integración UE,2
1992-06-13,Tratado de Maastricht / Integración UE,2
1992-06-14,Tratado de Maastricht / Integración UE,2
1992-06-15,Tratado de Maastricht / Integración UE,2
1992-06-16,Tratado de Maastricht / Integración UE,2
1992-06-17,Tratado de Maastricht / Integración UE,2
1992-06-18,Tratado de Maastricht / Integración UE,2
1992-06-19,Tratado de Maastricht / Integración UE,2
1992-06-20,Tratado de Maastricht / Integración UE,2
1992-06-21,Tratado de Maastricht / Integración UE,2
1992-06-22,Tratado de Maastricht / Integración UE,2
1992-06-23,Tratado de Maastricht / Integración UE,2
1992-06-24,Tratado de Maastricht / Integración UE,2
1992-06-25,Tratado de Maastricht / Integración UE,2
1992-06-26,Tratado de Maastricht / Integración UE,2
1992-06-27,Tratado de Maastricht / Integración UE,2
1992-06-28,Tratado de Maastricht / Integración UE,2
1992-06-29,Tratado de Maastricht / Integración UE,2
1992-06-30,Tratado de Maastricht / Integración UE,2
1992-07-01,Tratado de Maastricht / Integración UE,2
1992-07-02,Tratado de Maastricht / Integración UE,2
1992-07-03,Tratado de Maastricht / Integración UE,2
1992-07-04,Tratado de Maastricht / Integración UE,2
1992-07-05,Tratado de Maastricht / Integración UE,2
1992-07-06,Tratado de Maastricht / Integración UE,2
1992-07-07,Tratado de Maastricht / Integración UE,2
1992-07-08,Tratado de Maastricht / Integración UE,2
1992-07-09,Tratado de Maastricht / Integración UE,2
1992-07-10,Tratado de Maastricht / Integración UE,2
1992-07-11,Tratado de Maastricht / Integración UE,2
1992-07-12,Tratado de Maastricht / Integración UE,2
1992-07-13,Tratado de Maastricht / Integración UE,2
1992-07-14,Tratado de Maastricht / Integración UE,2
1992-07-15,Tratado de Maastricht / Integración UE,2
1992-07-16,Tratado de Maastricht / Integración UE,2
1992-07-17,Tratado de Maastricht / Integración UE,2
1992-07-18,Tratado de Maastricht / Integración UE,2
1992-07-19,Tratado de Maastricht / Integración UE,2
1992-07-20,Tratado de Maastricht / Integración UE,2
1992-07-21,Tratado de Maastricht / Integración UE,2
1992-07-22,Tratado de Maastricht / Integración UE,2
1992-07-23,Tratado de Maastricht / Integración UE,2
1992-07-24,Tratado de Maastricht / Integración UE,2
1992-07-25,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-07-25,Tratado de Maastricht / Integración UE,2
1992-07-26,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-07-26,Tratado de Maastricht / Integración UE,2
1992-07-27,Tratado de Maastricht / Integración UE,2
1992-07-27,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-07-28,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-07-28,Tratado de Maastricht / Integración UE,2
1992-07-29,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-07-29,Tratado de Maastricht / Integración UE,2
1992-07-30,Tratado de Maastricht / Integración UE,2
1992-07-30,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-07-31,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-07-31,Tratado de Maastricht / Integración UE,2
1992-08-01,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-08-01,Tratado de Maastricht / Integración UE,2
1992-08-02,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-08-02,Tratado de Maastricht / Integración UE,2
1992-08-03,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-08-03,Tratado de Maastricht / Integración UE,2
1992-08-04,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-08-04,Tratado de Maastricht / Integración UE,2
1992-08-05,Tratado de Maastricht / Integración UE,2
1992-08-05,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-08-06,Tratado de Maastricht / Integración UE,2
1992-08-06,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-08-07,Tratado de Maastricht / Integración UE,2
1992-08-07,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-08-08,Tratado de Maastricht / Integración UE,2
1992-08-08,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-08-09,Tratado de Maastricht / Integración UE,2
1992-08-09,Juegos Olímpicos Barcelona 1992 (impacto económico España),1
1992-08-10,Tratado de Maastricht / Integración UE,2
1992-08-11,Tratado de Maastricht / Integración UE,2
1992-08-12,Tratado de Maastricht / Integración UE,2
1992-08-13,Tratado de Maastricht / Integración UE,2
1992-08-14,Tratado de Maastricht / Integración UE,2
1992-08-15,Tratado de Maastricht / Integración UE,2
1992-08-16,Tratado de Maastricht / Integración UE,2
1992-08-17,Tratado de Maastricht / Integración UE,2
1992-08-18,Tratado de Maastricht / Integración UE,2
1992-08-19,Tratado de Maastricht / Integración UE,2
1992-08-20,Tratado de Maastricht / Integración UE,2
1992-08-21,Tratado de Maastricht / Integración UE,2
1992-08-22,Tratado de Maastricht / Integración UE,2
1992-08-23,Tratado de Maastricht / Integración UE,2
1992-08-24,Tratado de Maastricht / Integración UE,2
1992-08-25,Tratado de Maastricht / Integración UE,2
1992-08-26,Tratado de Maastricht / Integración UE,2
1992-08-27,Tratado de Maastricht / Integración UE,2
1992-08-28,Tratado de Maastricht / Integración UE,2
1992-08-29,Tratado de Maastricht / Integración UE,2
1992-08-30,Tratado de Maastricht / Integración UE,2
1992-08-31,Tratado de Maastricht / Integración UE,2
1992-09-01,Tratado de Maastricht / Integración UE,2
1992-09-02,Tratado de Maastricht / Integración UE,2
1992-09-03,Tratado de Maastricht / Integración UE,2
1992-09-04,Tratado de Maastricht / Integración UE,2
1992-09-05,Tratado de Maastricht / Integración UE,2
1992-09-06,Tratado de Maastricht / Integración UE,2
1992-09-07,Tratado de Maastricht / Integración UE,2
1992-09-08,Tratado de Maastricht / Integración UE,2
1992-09-09,Tratado de Maastricht / Integración UE,2
1992-09-10,Tratado de Maastricht / Integración UE,2
1992-09-11,Tratado de Maastricht / Integración UE,2
1992-09-12,Tratado de Maastricht / Integración UE,2
1992-09-13,Tratado de Maastricht / Integración UE,2
1992-09-14,Tratado de Maastricht / Integración UE,2
1992-09-15,Tratado de Maastricht / Integración UE,2
1992-09-16,Tratado de Maastricht / Integración UE,2
1992-09-17,Tratado de Maastricht / Integración UE,2
1992-09-18,Tratado de Maastricht / Integración UE,2
1992-09-19,Tratado de Maastricht / Integración UE,2
1992-09-20,Tratado de Maastricht / Integración UE,2
1992-09-21,Tratado de Maastricht / Integración UE,2
1992-09-22,Tratado de Maastricht / Integración UE,2
1992-09-23,Tratado de Maastricht / Integración UE,2
1992-09-24,Tratado de Maastricht / Integración UE,2
1992-09-25,Tratado de Maastricht / Integración UE,2
1992-09-26,Tratado de Maastricht / Integración UE,2
1992-09-27,Tratado de Maastricht / Integración UE,2
1992-09-28,Tratado de Maastricht / Integración UE,2
1992-09-29,Tratado de Maastricht / Integración UE,2
1992-09-30,Tratado de Maastricht / Integración UE,2
1992-10-01,Tratado de Maastricht / Integración UE,2
1992-10-02,Tratado de Maastricht / Integración UE,2
1992-10-03,Tratado de Maastricht / Integración UE,2
1992-10-04,Tratado de Maastricht / Integración UE,2
1992-10-05,Tratado de Maastricht / Integración UE,2
1992-10-06,Tratado de Maastricht / Integración UE,2
1992-10-07,Tratado de Maastricht / Integración UE,2
1992-10-08,Tratado de Maastricht / Integración UE,2
1992-10-09,Tratado de Maastricht / Integración UE,2
1992-10-10,Tratado de Maastricht / Integración UE,2
1992-10-11,Tratado de Maastricht / Integración UE,2
1992-10-12,Tratado de Maastricht / Integración UE,2
1992-10-13,Tratado de Maastricht / Integración UE,2
1992-10-14,Tratado de Maastricht / Integración UE,2
1992-10-15,Tratado de Maastricht / Integración UE,2
1992-10-16,Tratado de Maastricht / Integración UE,2
1992-10-17,Tratado de Maastricht / Integración UE,2
1992-10-18,Tratado de Maastricht / Integración UE,2
1992-10-19,Tratado de Maastricht / Integración UE,2
1992-10-20,Tratado de Maastricht / Integración UE,2
1992-10-21,Tratado de Maastricht / Integración UE,2
1992-10-22,Tratado de Maastricht / Integración UE,2
1992-10-23,Tratado de Maastricht / Integración UE,2
1992-10-24,Tratado de Maastricht / Integración UE,2
1992-10-25,Tratado de Maastricht / Integración UE,2
1992-10-26,Tratado de Maastricht / Integración UE,2
1992-10-27,Tratado de Maastricht / Integración UE,2
1992-10-28,Tratado de Maastricht / Integración UE,2
1992-10-29,Tratado de Maastricht / Integración UE,2
1992-10-30,Tratado de Maastricht / Integración UE,2
1992-10-31,Tratado de Maastricht / Integración UE,2
1992-11-01,Tratado de Maastricht / Integración UE,2
1992-11-02,Tratado de Maastricht / Integración UE,2
1992-11-03,Tratado de Maastricht / Integración UE,2
1992-11-04,Tratado de Maastricht / Integración UE,2
1992-11-05,Tratado de Maastricht / Integración UE,2
1992-11-06,Tratado de Maastricht / Integración UE,2
1992-11-07,Tratado de Maastricht / Integración UE,2
1992-11-08,Tratado de Maastricht / Integración UE,2
1992-11-09,Tratado de Maastricht / Integración UE,2
1992-11-10,Tratado de Maastricht / Integración UE,2
1992-11-11,Tratado de Maastricht / Integración UE,2
1992-11-12,Tratado de Maastricht / Integración UE,2
1992-11-13,Tratado de Maastricht / Integración UE,2
1992-11-14,Tratado de Maastricht / Integración UE,2
1992-11-15,Tratado de Maastricht / Integración UE,2
1992-11-16,Tratado de Maastricht / Integración UE,2
1992-11-17,Tratado de Maastricht / Integración UE,2
1992-11-18,Tratado de Maastricht / Integración UE,2
1992-11-19,Tratado de Maastricht / Integración UE,2
1992-11-20,Tratado de Maastricht / Integración UE,2
1992-11-21,Tratado de Maastricht / Integración UE,2
1992-11-22,Tratado de Maastricht / Integración UE,2
1992-11-23,Tratado de Maastricht / Integración UE,2
1992-11-24,Tratado de Maastricht / Integración UE,2
1992-11-25,Tratado de Maastricht / Integración UE,2
1992-11-26,Tratado de Maastricht / Integración UE,2
1992-11-27,Tratado de Maastricht / Integración UE,2
1992-11-28,Tratado de Maastricht / Integración UE,2
1992-11-29,Tratado de Maastricht / Integración UE,2
1992-11-30,Tratado de Maastricht / Integración UE,2
1992-12-01,Tratado de Maastricht / Integración UE,2
1992-12-02,Tratado de Maastricht / Integración UE,2
1992-12-03,Tratado de Maastricht / Integración UE,2
1992-12-04,Tratado de Maastricht / Integración UE,2
1992-12-05,Tratado de Maastricht / Integración UE,2
1992-12-06,Tratado de Maastricht / Integración UE,2
1992-12-07,Tratado de Maastricht / Integración UE,2
1992-12-08,Tratado de Maastricht / Integración UE,2
1992-12-09,Tratado de Maastricht / Integración UE,2
1992-12-10,Tratado de Maastricht / Integración UE,2
1992-12-11,Tratado de Maastricht / Integración UE,2
1992-12-12,Tratado de Maastricht / Integración UE,2
1992-12-13,Tratado de Maastricht / Integración UE,2
1992-12-14,Tratado de Maastricht / Integración UE,2
1992-12-15,Tratado de Maastricht / Integración UE,2
1992-12-16,Tratado de Maastricht / Integración UE,2
1992-12-17,Tratado de Maastricht / Integración UE,2
1992-12-18,Tratado de Maastricht / Integración UE,2
1992-12-19,Tratado de Maastricht / Integración UE,2
1992-12-20,Tratado de Maastricht / Integración UE,2
1992-12-21,Tratado de Maastricht / Integración UE,2
1992-12-22,Tratado de Maastricht / Integración UE,2
1992-12-23,Tratado de Maastricht / Integración UE,2
1992-12-24,Tratado de Maastricht / Integración UE,2
1992-12-25,Tratado de Maastricht / Integración UE,2
1992-12-26,Tratado de Maastricht / Integración UE,2
1992-12-27,Tratado de Maastricht / Integración UE,2
1992-12-28,Tratado de Maastricht / Integración UE,2
1992-12-29,Tratado de Maastricht / Integración UE,2
1992-12-30,Tratado de Maastricht / Integración UE,2
1992-12-31,Tratado de Maastricht / Integración UE,2
1993-01-01,Tratado de Maastricht / Integración UE,2
1993-01-02,Tratado de Maastricht / Integración UE,2
1993-01-03,Tratado de Maastricht / Integración UE,2
1993-01-04,Tratado de Maastricht / Integración UE,2
1993-01-05,Tratado de Maastricht / Integración UE,2
1993-01-06,Tratado de Maastricht / Integración UE,2
1993-01-07,Tratado de Maastricht / Integración UE,2
1993-01-08,Tratado de Maastricht / Integración UE,2
1993-01-09,Tratado de Maastricht / Integración UE,2
1993-01-10,Tratado de Maastricht / Integración UE,2
1993-01-11,Tratado de Maastricht / Integración UE,2
1993-01-12,Tratado de Maastricht / Integración UE,2
1993-01-13,Tratado de Maastricht / Integración UE,2
1993-01-14,Tratado de Maastricht / Integración UE,2
1993-01-15,Tratado de Maastricht / Integración UE,2
1993-01-16,Tratado de Maastricht / Integración UE,2
1993-01-17,Tratado de Maastricht / Integración UE,2
1993-01-18,Tratado de Maastricht / Integración UE,2
1993-01-19,Tratado de Maastricht / Integración UE,2
1993-01-20,Tratado de Maastricht / Integración UE,2
1993-01-21,Tratado de Maastricht / Integración UE,2
1993-01-22,Tratado de Maastricht / Integración UE,2
1993-01-23,Tratado de Maastricht / Integración UE,2
1993-01-24,Tratado de Maastricht / Integración UE,2
1993-01-25,Tratado de Maastricht / Integración UE,2
1993-01-26,Tratado de Maastricht / Integración UE,2
1993-01-27,Tratado de Maastricht / Integración UE,2
1993-01-28,Tratado de Maastricht / Integración UE,2
1993-01-29,Tratado de Maastricht / Integración UE,2
1993-01-30,Tratado de Maastricht / Integración UE,2
1993-01-31,Tratado de Maastricht / Integración UE,2
